Order_ID,Customer_ID,Customer_Type,Product,Category,Quantity,Discount,Total_Price,Region,Order_Date,Cluster,PCA1,PCA2
1018,224,1,25,2,9.0,0.0,5.219999999999999,1,809,0,0.3500630537662976,-0.701568263087905
1351,1437,1,42,3,5.0,0.0,11.3,0,8,2,1.3833529757094079,-0.33134321022233426
1351,1437,1,29,1,14.0,0.0,19.74,0,8,0,0.05604993105279319,0.33054835235367036
1462,1036,1,13,1,12.0,0.0,28.2,14,550,1,-1.6737427103381508,0.2584178836565756
1462,1036,1,10,2,4.0,0.0,6.84,14,550,0,1.4996052248691571,-0.8781558301401245
1573,878,1,15,1,3.0,0.0,6.39,15,418,1,-1.6513759378312396,0.28078465616348686
1573,878,1,32,2,12.0,0.0,6.6,15,418,2,1.0097705343301056,0.2896716520146733
223,335,1,8,0,1.0,0.0,0.6099999999999994,9,646,2,2.0824269249404574,0.036198304469946097
223,335,1,13,1,10.0,0.0,20.5,9,646,0,-0.24729942107219066,0.027199000228686345
223,335,1,45,3,2.0,0.0,6.42,9,646,1,-1.698905329408426,0.23325526458630044
223,335,1,44,3,4.0,0.0,2.24,9,646,0,-0.37778063112930615,-0.7663470789059692
223,335,1,10,2,12.0,0.0,13.08,9,646,0,0.5345889269483153,-0.5170423899058871
334,1008,1,45,3,2.0,0.0,2.9800000000000004,7,598,1,-1.4310907125762582,0.16953744687969813
334,1008,1,36,2,1.0,0.0,1.3800000000000008,7,598,1,-1.216397180448005,0.05269854446918168
334,1008,1,11,2,15.0,0.0,33.900000000000006,7,598,2,1.2188723733316311,0.1672410564774292
445,157,1,5,2,3.0,0.0,9.93,13,509,1,-1.2780181132320843,0.3226100462238721
445,157,1,40,1,14.0,0.0,13.86,13,509,1,-1.4374936757339007,0.4946669182608258
445,157,1,6,2,7.0,0.0,30.24,13,509,1,-1.5128692245546522,0.08775893490130407
556,372,1,37,3,11.0,0.0,20.46,7,220,0,-0.45326848834013145,-0.8418349361167946
556,372,1,7,1,13.0,0.0,17.03,7,220,2,0.6187140519297791,0.8932124732306567
784,171,1,5,2,12.0,0.0,15.12,10,640,1,-0.6158768225755323,0.3216864678028844
784,171,1,3,0,6.0,0.0,10.8,10,640,0,1.4659427577187163,-0.5802858627517954
784,171,1,30,2,7.0,0.0,22.47,10,640,2,1.7257318713314127,0.34256811993844083
784,171,1,42,3,8.0,0.0,18.24,10,640,1,-1.093379931659993,0.17571579325719358
807,166,1,5,2,2.0,0.0,2.92,12,62,1,-1.290599422767222,0.31002873668873454
807,166,1,44,3,4.0,0.0,9.04,12,62,0,0.2159747271149037,-1.1671890242780691
807,166,1,0,3,14.0,0.0,17.22,12,62,0,-0.15760771426439854,-0.5461741620410615
818,473,1,29,1,3.0,0.0,13.05,4,488,1,-0.2418200363355365,0.3642108195041105
818,473,1,27,1,9.0,0.0,8.64,4,488,2,1.157139132157478,0.768572684380816
818,473,1,3,0,8.0,0.0,10.96,4,488,0,0.11918109550862815,-0.2693853522680347
829,943,1,23,2,2.0,0.0,7.12,14,331,1,-2.0261316857120764,0.2375613428214197
829,943,1,11,2,13.0,0.0,16.38,14,331,0,0.855998973345091,0.13590009102965853
829,943,1,24,2,4.0,0.0,17.4,14,331,1,-1.454268755114084,0.4778918388806424
840,75,1,43,3,3.0,0.0,4.59,9,16,1,-1.4149022864468421,-0.1458065615296557
840,75,1,1,0,1.0,0.0,0.9600000000000009,9,16,0,0.6689018703798565,-0.714261881013116
840,75,1,24,2,6.0,0.0,3.42,9,16,2,0.8362034306213963,0.7791694173835041
840,75,1,28,2,1.0,0.0,2.9299999999999997,9,16,1,-1.69471155956338,0.2374490344313464
840,75,1,45,3,13.0,0.0,40.56,9,16,1,-1.972311639367321,0.29138138916617495
862,1314,1,5,2,10.0,0.0,12.6,6,656,2,2.621438658418924,0.24367760340964315
862,1314,1,24,2,10.0,0.0,20.5,6,656,1,-1.0431670019095163,0.5574611575464404
929,191,1,8,0,11.0,0.0,21.89,1,645,1,-1.0011169950689842,0.2679787298482026
951,639,1,20,0,5.0,0.0,2.4499999999999993,9,706,0,1.0549533129042223,-0.9912753075662897
951,639,1,31,0,8.0,0.0,10.48,9,706,2,1.0394889597160468,1.3139873810169247
963,287,1,15,1,2.0,0.0,3.7200000000000006,0,843,0,1.0189693440511118,-0.03266197280309011
963,287,1,9,3,6.0,0.0,9.54,0,843,0,1.1107579357814272,-0.603938250150315
985,1394,1,40,1,9.0,0.0,14.49,15,178,2,2.4638353640594834,1.0806716126665121
985,1394,1,17,0,5.0,0.0,16.15,15,178,2,2.2230305231395677,-0.1547305318697137
985,1394,1,0,3,6.0,0.0,3.3599999999999994,15,178,0,0.534701235338389,-0.8484625160545837
985,1394,1,29,1,12.0,0.0,15.96,15,178,1,-1.252855494161809,0.3477726652941473
1007,1473,1,44,3,2.0,0.0,4.24,3,322,1,-2.02892753227544,0.23476549625805584
1007,1473,1,13,1,14.0,0.0,28.56,3,322,0,0.008632847865680228,-0.0484011653722126
1007,1473,1,9,3,12.0,0.0,7.08,3,322,0,0.8114900451114156,-0.5716737062815569
1007,1473,1,15,1,4.0,0.0,1.9600000000000009,3,322,1,-0.4850586873481962,0.12097216849145065
1041,152,1,38,2,12.0,0.0,27.36,3,378,0,0.6243929421461809,-1.4218356783243313
1041,152,1,24,2,4.0,0.0,7.0,3,378,0,0.4963957647826081,0.7708941860834857
1041,152,1,30,2,4.0,0.0,3.7200000000000006,3,378,0,0.3665012079762601,0.3094671947383675
1052,350,1,28,2,6.0,0.0,5.58,8,717,1,-1.3723779347456162,0.22825022471034015
1052,350,1,11,2,12.0,0.0,6.36,8,717,1,-0.9787502225620728,0.2903455023551138
1052,350,1,45,3,7.0,0.0,21.84,8,717,1,-1.698905329408426,0.23325526458630044
1052,350,1,5,2,12.0,0.0,14.76,8,717,1,-0.9396083706749783,0.32948735424220843
1052,350,1,10,2,12.0,0.0,39.72,8,717,0,1.2898044242267903,-0.7564241962437216
1074,862,1,22,0,8.0,0.0,9.6,4,293,1,-0.8250909699671315,0.7755371894888252
1074,862,1,25,2,15.0,0.0,34.65,4,293,0,-0.13873574996169208,-0.527302197738355
1074,862,1,3,0,8.0,0.0,6.88,4,293,0,-0.14234286655597056,-0.19937687979386348
1074,862,1,7,1,11.0,0.0,10.23,4,293,1,-1.4053414402552158,0.5268191537395108
1074,862,1,9,3,5.0,0.0,15.6,4,293,0,1.0653254291267635,-0.6493707568049787
1085,744,1,22,0,11.0,0.0,26.18,13,300,1,-0.355276438931922,0.9138192859852651
1085,744,1,28,2,12.0,0.0,22.56,13,300,1,-1.4164125181185978,0.1842156413373587
1085,744,1,25,2,12.0,0.0,14.88,13,300,1,-2.001668028282642,0.26202500025085396
1085,744,1,44,3,7.0,0.0,8.26,13,300,1,-1.0008923782888368,-0.3948615224491903
1118,267,1,27,1,6.0,0.0,18.66,11,233,1,-1.8639725850369697,0.39972044349652636
1118,267,1,21,1,5.0,0.0,10.65,11,233,2,2.7554146766802448,1.0407184907485036
1141,534,1,34,3,2.0,0.0,1.3000000000000007,13,336,1,-1.778586956464297,0.1535736375304291
1141,534,1,20,0,5.0,0.0,5.5,13,336,0,1.2584634587790202,-1.1192975962302616
